Epoch	Training Loss	Validation Loss
610	0.8690	0.7540
611	0.8689	0.7539
612	0.8688	0.7538
613	0.8686	0.7536
614	0.8685	0.7535
615	0.8684	0.7533
616	0.8683	0.7532
617	0.8682	0.7531
618	0.8681	0.7529
619	0.8680	0.7528
620	0.8679	0.7527
621	0.8677	0.7525
622	0.8676	0.7524
623	0.8675	0.7523
624	0.8674	0.7521
625	0.8673	0.7520
626	0.8672	0.7519
627	0.8671	0.7517
628	0.8670	0.7516
629	0.8668	0.7514
630	0.8667	0.7513
631	0.8666	0.7512
632	0.8665	0.7510
633	0.8664	0.7509
634	0.8663	0.7508
635	0.8662	0.7506
636	0.8661	0.7505
637	0.8660	0.7504
638	0.8658	0.7502
639	0.8657	0.7501
640	0.8656	0.7499
641	0.8655	0.7498
642	0.8654	0.7497
643	0.8653	0.7495
644	0.8652	0.7494
645	0.8651	0.7493
646	0.8650	0.7491
647	0.8648	0.7490
648	0.8647	0.7489
649	0.8646	0.7487
650	0.8645	0.7486
651	0.8644	0.7485
652	0.8643	0.7483
653	0.8642	0.7482
654	0.8641	0.7481
655	0.8639	0.7479
656	0.8638	0.7478
657	0.8637	0.7476
658	0.8636	0.7475
659	0.8635	0.7474
660	0.8634	0.7472
661	0.8633	0.7471
662	0.8632	0.7470
663	0.8631	0.7468
664	0.8630	0.7467
665	0.8628	0.7466
666	0.8627	0.7464
667	0.8626	0.7463
668	0.8625	0.7462
669	0.8624	0.7460
670	0.8623	0.7459
671	0.8622	0.7458
672	0.8621	0.7456
673	0.8620	0.7455
674	0.8618	0.7454
675	0.8617	0.7452
676	0.8616	0.7451
677	0.8615	0.7450
678	0.8614	0.7448
679	0.8613	0.7447
680	0.8612	0.7446
681	0.8611	0.7444
682	0.8610	0.7443
683	0.8608	0.7441
684	0.8607	0.7440
685	0.8606	0.7439
686	0.8605	0.7437
687	0.8604	0.7436
688	0.8603	0.7435
689	0.8602	0.7433
690	0.8601	0.7432
691	0.8600	0.7431
692	0.8599	0.7429
693	0.8597	0.7428
694	0.8596	0.7427
695	0.8595	0.7425
696	0.8594	0.7424
697	0.8593	0.7423
698	0.8592	0.7421
699	0.8591	0.7420
700	0.8590	0.7419
701	0.8589	0.7417
702	0.8588	0.7416
703	0.8586	0.7415
704	0.8585	0.7413
705	0.8584	0.7412
706	0.8583	0.7411
707	0.8582	0.7409
708	0.8581	0.7408
709	0.8580	0.7407
710	0.8579	0.7405
711	0.8578	0.7404
712	0.8577	0.7403
713	0.8575	0.7401
714	0.8574	0.7400
715	0.8573	0.7399
716	0.8572	0.7397
717	0.8571	0.7396
718	0.8570	0.7395
719	0.8569	0.7393
720	0.8568	0.7392
721	0.8567	0.7391
722	0.8566	0.7389
723	0.8565	0.7388
724	0.8563	0.7387
725	0.8562	0.7385
726	0.8561	0.7384
727	0.8560	0.7383
728	0.8559	0.7381
729	0.8558	0.7380
730	0.8557	0.7379
731	0.8556	0.7377
732	0.8555	0.7376
733	0.8554	0.7375
734	0.8553	0.7373
735	0.8551	0.7372
736	0.8550	0.7371
737	0.8549	0.7369
738	0.8548	0.7368
739	0.8547	0.7367
740	0.8546	0.7366
741	0.8545	0.7364
742	0.8544	0.7363
743	0.8543	0.7362
744	0.8542	0.7360
745	0.8541	0.7359
746	0.8539	0.7358
747	0.8538	0.7356
748	0.8537	0.7355
749	0.8536	0.7354
750	0.8535	0.7352
751	0.8534	0.7351
752	0.8533	0.7350
753	0.8532	0.7348
754	0.8531	0.7347
755	0.8530	0.7346
756	0.8529	0.7344
757	0.8528	0.7343
758	0.8526	0.7342
759	0.8525	0.7340
760	0.8524	0.7339
761	0.8523	0.7338
762	0.8522	0.7336
763	0.8521	0.7335
764	0.8520	0.7334
765	0.8519	0.7333
766	0.8518	0.7331
767	0.8517	0.7330
768	0.8516	0.7329
769	0.8515	0.7327
770	0.8513	0.7326
771	0.8512	0.7325
772	0.8511	0.7323
773	0.8510	0.7322
774	0.8509	0.7321
775	0.8508	0.7319
776	0.8507	0.7318
777	0.8506	0.7317
778	0.8505	0.7315
779	0.8504	0.7314
780	0.8503	0.7313
781	0.8502	0.7312
782	0.8501	0.7310
783	0.8499	0.7309
784	0.8498	0.7308
785	0.8497	0.7306
786	0.8496	0.7305
787	0.8495	0.7304
788	0.8494	0.7302
789	0.8493	0.7301
790	0.8492	0.7300
791	0.8491	0.7298
792	0.8490	0.7297
793	0.8489	0.7296
794	0.8488	0.7295
795	0.8487	0.7293
796	0.8485	0.7292
797	0.8484	0.7291
798	0.8483	0.7289
799	0.8482	0.7288
800	0.8481	0.7287
801	0.8480	0.7285
802	0.8479	0.7284
803	0.8478	0.7283
804	0.8477	0.7281
805	0.8476	0.7280
806	0.8475	0.7279
807	0.8474	0.7278
808	0.8473	0.7276
809	0.8472	0.7275
810	0.8470	0.7274
811	0.8469	0.7272
812	0.8468	0.7271
813	0.8467	0.7270
814	0.8466	0.7268
815	0.8465	0.7267
816	0.8464	0.7266
817	0.8463	0.7265
818	0.8462	0.7263
819	0.8461	0.7262
820	0.8460	0.7261
821	0.8459	0.7259
822	0.8458	0.7258
823	0.8457	0.7257
824	0.8456	0.7255
825	0.8454	0.7254
826	0.8453	0.7253
827	0.8452	0.7252
828	0.8451	0.7250
829	0.8450	0.7249
830	0.8449	0.7248
831	0.8448	0.7246
832	0.8447	0.7245
833	0.8446	0.7244
834	0.8445	0.7243
835	0.8444	0.7241
836	0.8443	0.7240
837	0.8442	0.7239
838	0.8441	0.7237
839	0.8440	0.7236
840	0.8438	0.7235
841	0.8437	0.7234
842	0.8436	0.7232
843	0.8435	0.7231
844	0.8434	0.7230
845	0.8433	0.7228
846	0.8432	0.7227
847	0.8431	0.7226
848	0.8430	0.7224
849	0.8429	0.7223
850	0.8428	0.7222
851	0.8427	0.7221
852	0.8426	0.7219
853	0.8425	0.7218
854	0.8424	0.7217
855	0.8423	0.7215
856	0.8422	0.7214
857	0.8420	0.7213
858	0.8419	0.7212
859	0.8418	0.7210
860	0.8417	0.7209
861	0.8416	0.7208
862	0.8415	0.7206
863	0.8414	0.7205
864	0.8413	0.7204
865	0.8412	0.7203
866	0.8411	0.7201
867	0.8410	0.7200
868	0.8409	0.7199
869	0.8408	0.7197
870	0.8407	0.7196
871	0.8406	0.7195
872	0.8405	0.7194
873	0.8404	0.7192
874	0.8403	0.7191
875	0.8401	0.7190
876	0.8400	0.7189
877	0.8399	0.7187
878	0.8398	0.7186
879	0.8397	0.7185
880	0.8396	0.7183
881	0.8395	0.7182
882	0.8394	0.7181
883	0.8393	0.7180
884	0.8392	0.7178
885	0.8391	0.7177
886	0.8390	0.7176
887	0.8389	0.7174
888	0.8388	0.7173
889	0.8387	0.7172
890	0.8386	0.7171
891	0.8385	0.7169
892	0.8384	0.7168
893	0.8383	0.7167
894	0.8382	0.7166
895	0.8380	0.7164
896	0.8379	0.7163
897	0.8378	0.7162
898	0.8377	0.7160
899	0.8376	0.7159
900	0.8375	0.7158
901	0.8374	0.7157
902	0.8373	0.7155
903	0.8372	0.7154
904	0.8371	0.7153
905	0.8370	0.7152
906	0.8369	0.7150
907	0.8368	0.7149
908	0.8367	0.7148
909	0.8366	0.7146
910	0.8365	0.7145
911	0.8364	0.7144
912	0.8363	0.7143
913	0.8362	0.7141
914	0.8361	0.7140
